URL;LOKALIZACJA;NAGŁOWEK;CENA;CENA_M2;POWIERZCHNIA;POKOJE;PIĘTRO;RYNEK;RODZAJ_BUDYNKU;MATERIAŁ;OKNA;OGRZEWANIE;ROK_BUDOWY;STAN_WYKOŃCZENIA;CZYNSZ;FORMA_WŁASNOŚCI;MEDIA;ZABEZPIECZENIA;WYPOSAŻENIE;INFO_DODATKOWE;DZIELNICA;DOSTEPNE_OD
https://www.otodom.pl/oferta/mieszkanie-poznan-smochowice-ID3xLFN.html#c7892253d3;Poznań, Smochowice, Sianowska 36   C;Mieszkanie - Poznań Smochowice;620000.0;4564.0;135.84;4;1;pierwotny;apartamentowiec;;;gazowe;2018 ;do wykończenia;;pełna własność;;['domofon / wideofon', 'rolety antywłamaniowe'];;['piwnica', 'garaż/miejsce parkingowe', 'ogródek', 'taras'];Smochowice;
https://www.otodom.pl/oferta/piekne-funkcjonalne-mieszkanie-wszedzie-blisko-ID3nB5y.html#c7892253d3;Poznań;Piękne, funkcjonalne mieszkanie -wszędzie blisko !;362000.0;5028.0;72.0;4;1;wtórny;szeregowiec;cegła;plastikowe;gazowe;2018 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'rolety antywłamaniowe'];;['garaż/miejsce parkingowe', 'ogródek', 'oddzielna kuchnia', 'taras', 'dwupoziomowe'];;
https://www.otodom.pl/oferta/gotowy-do-wykonczenia-dom-poznan-plewiska-ID3vRZd.html#c7892253d3;Poznań,  Grunwaldzka  / Fabianowska;Gotowy do wykończenia Dom Poznań Plewiska;464000.0;3772.0;123.0;6;;pierwotny;szeregowiec;cegła;plastikowe;gazowe;2018 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['system alarmowy', 'drzwi / okna antywłamaniowe'];;['balkon', 'garaż/miejsce parkingowe', 'ogródek', 'taras', 'dwupoziomowe'];Grunwald;1 Stycznia 2018
https://www.otodom.pl/oferta/villa-venecja-komfort-w-centrum-miasta-ID3j62a.html#c7892253d3;Poznań, Centrum,  Wenecjańska;VILLA VENECJA - KOMFORT W CENTRUM MIASTA;;;;277761;;;;;;;;;;;;;;['teren zamknięty', 'winda', 'garaż', 'ogródek', 'ochrona', 'tarasy'];;
https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-zlokalizowane-w-centrum-ID3ykfp.html#c7892253d3;Poznań, Stare Miasto,  Grochowe Łąki;Mieszkanie 2 pokojowe zlokalizowane w centrum.;299000.0;7419.0;40.3;2;3;wtórny;plomba;cegła;plastikowe;miejskie;2000 ;do zamieszkania;450.0;pełna własność;['telewizja kablowa'];['teren zamknięty', 'domofon / wideofon'];['lodówka', 'kuchenka', 'pralka'];['garaż/miejsce parkingowe'];Stare Miasto;8 Lutego 2018
https://www.otodom.pl/oferta/dwupokojowe-niski-blok-stare-zegrze-ID3wgAc.html#c7892253d3;Poznań, Nowe Miasto,  Stare Żegrze;Dwupokojowe, niski blok Stare Żegrze;313000.0;6273.0;49.9;2;3;wtórny;blok;wielka płyta;plastikowe;miejskie;1984 ;do zamieszkania;458.0;pełna własność;['telewizja kablowa', 'internet'];['drzwi / okna antywłamaniowe', 'domofon / wideofon'];['lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka'];['balkon', 'piwnica', 'garaż/miejsce parkingowe', 'oddzielna kuchnia'];Żegrze;14 Stycznia 2018
https://www.otodom.pl/oferta/antresola-24-metrowy-taras-15-min-od-poznania-ID3lCig.html#c7892253d3;Poznań;Antresola, 24 metrowy taras, 15 min od Poznania;329000.0;3445.0;95.5;4;1;pierwotny;szeregowiec;silikat;plastikowe;gazowe;2017 ;do wykończenia;;pełna własność;['internet'];['drzwi / okna antywłamaniowe', 'domofon / wideofon'];;['garaż/miejsce parkingowe', 'taras', 'dwupoziomowe', 'pom. użytkowe'];;
https://www.otodom.pl/oferta/mieszkanie-34-86-m-poznan-ID3yvCH.html#c7892253d3;Poznań, Zawady, Studniarskiego;Mieszkanie, 34,86 m², Poznań;205674.0;5900.0;34.86;1;4;pierwotny;blok;;plastikowe;kotłownia;2018 ;do wykończenia;;pełna własność;;;;;Zawady;
https://www.otodom.pl/oferta/wygodne-100-m-mieszkanie-wsrod-willi-na-piatkowie-ID3nJD6.html#c7892253d3;Poznań, Piątkowo,  Ruska;Wygodne 100 m mieszkanie wśród willi na Piątkowie;585000.0;5850.0;100.0;3;1;wtórny;dom wolnostojący;cegła;plastikowe;elektryczne;2000 ;do zamieszkania;144.0;spółdzielcze wł. z KW;['telewizja kablowa', 'internet', 'telefon'];['system alarmowy', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona', 'rolety antywłamaniowe'];['zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka'];['garaż/miejsce parkingowe', 'ogródek', 'taras', 'dwupoziomowe', 'pom. użytkowe'];Piątkowo;1 Grudnia 2017
https://www.otodom.pl/oferta/mieszkanie-30-96-m-poznan-ID3yvB5.html#c7892253d3;Poznań, Zawady, Studniarskiego;Mieszkanie, 30,96 m², Poznań;188856.0;6100.0;30.96;1;5;pierwotny;blok;;plastikowe;kotłownia;2018 ;do wykończenia;;pełna własność;;;;['balkon', 'garaż/miejsce parkingowe'];Zawady;
https://www.otodom.pl/oferta/bezposrednio-wyposazone-odnowione-ID3y7PR.html#c7892253d3;Poznań, Wilda,  Robocza 33;BEZPOŚREDNIO!!! Wyposażone - Odnowione;349000.0;6585.0;53.0;2;3;wtórny;blok;cegła;plastikowe;miejskie;2005 ;do zamieszkania;310.0;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona'];['zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka'];['balkon', 'winda', 'oddzielna kuchnia'];Wilda;28 Lutego 2018
https://www.otodom.pl/oferta/komfortowe-bezposrednio-pod-lipami-niski-blok-ID3xrPZ.html#c7892253d3;Poznań, Winogrady, Pod Lipami 7;Komfortowe Bezpośrednio Pod Lipami niski blok;289000.0;7225.0;40.0;2;;wtórny;blok;cegła;plastikowe;miejskie;;do zamieszkania;300.0;pełna własność;['telewizja kablowa', 'internet'];['drzwi / okna antywłamaniowe', 'domofon / wideofon', 'rolety antywłamaniowe'];['lodówka', 'meble', 'pralka'];['piwnica'];Winogrady;26 Stycznia 2018
https://www.otodom.pl/oferta/wszedzie-blisko-funkcjonalne-piekne-mieszkanie-ID3nUSM.html#c7892253d3;Poznań;Wszędzie blisko - funkcjonalne, piękne mieszkanie!;362000.0;5028.0;72.0;4;1;wtórny;szeregowiec;cegła;plastikowe;gazowe;2018 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'rolety antywłamaniowe'];;['garaż/miejsce parkingowe', 'ogródek', 'oddzielna kuchnia', 'taras', 'dwupoziomowe'];;
https://www.otodom.pl/oferta/mieszkanie-90m2-z-ogrodem-poznan-pokrzywno-ID2YGFU.html#c7892253d3;Poznań, Pokrzywno,  Żurawicka;Mieszkanie 90m2 z ogrodem ! POZNAŃ POKRZYWNO;399000.0;4433.0;90.0;3;;pierwotny;dom wolnostojący;pustak;plastikowe;gazowe;2015 ;do wykończenia;;pełna własność;;['system alarmowy', 'domofon / wideofon', 'monitoring / ochrona'];;['balkon', 'garaż/miejsce parkingowe', 'ogródek', 'taras', 'pom. użytkowe'];Pokrzywno;1 Czerwca 2016
https://www.otodom.pl/oferta/bezposrednio-4-pokoje-1-sze-pietro-balkon-ID3wbRu.html#c7892253d3;Poznań, Podolany,  Szarych Szeregów 20;BEZPOŚREDNIO, 4 pokoje, 1-sze piętro, balkon,;359900.0;6205.0;58.0;4;1;wtórny;blok;cegła;plastikowe;kotłownia;1970 ;do zamieszkania;450.0;pełna własność;;['domofon / wideofon'];['piekarnik', 'kuchenka'];['balkon', 'piwnica', 'garaż/miejsce parkingowe', 'oddzielna kuchnia', 'pom. użytkowe'];Podolany;25 Grudnia 2017
https://www.otodom.pl/oferta/super-apartament-pod-wynajem-centrum-ID3yvnl.html#c7892253d3;Poznań, Strzelecka;Super Apartament Pod Wynajem Centrum !!!;333996.0;7800.0;42.82;2;3;wtórny;kamienica;cegła;drewniane;miejskie;1900 ;do wykończenia;1.0;pełna własność;['telewizja kablowa', 'internet', 'telefon'];;;['piwnica', 'winda', 'oddzielna kuchnia'];;
https://www.otodom.pl/oferta/mieszkanie-63-10-m-poznan-ID3yvmz.html#c7892253d3;Poznań, Piątkowo, Osiedle Stefana Batorego;Mieszkanie, 63,10 m², Poznań;350000.0;5547.0;63.1;3;4;wtórny;blok;wielka płyta;plastikowe;;1993 ;;;;;;;['balkon'];Piątkowo;
https://www.otodom.pl/oferta/nowoczesny-apartament-chartowo-architekt-wnetrz-ID3uyoo.html#c7892253d3;Poznań, Chartowo, Lwa;Nowoczesny apartament Chartowo architekt wnętrz;499000.0;7677.0;65.0;3;1;wtórny;apartamentowiec;;;miejskie;;;;pełna własność;;['teren zamknięty', 'domofon / wideofon'];['lodówka', 'meble', 'pralka'];['balkon', 'garaż/miejsce parkingowe', 'winda'];Chartowo;
https://www.otodom.pl/oferta/szczepankowo-4-pokojowe-nowe-developerka-ID3qP5O.html#c7892253d3;Poznań, Szczepankowo;Szczepankowo 4 pokojowe nowe developerka;403600.0;4000.0;100.9;4;1;wtórny;blok;cegła;plastikowe;gazowe;2017 ;do wykończenia;;;;['drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon'];;['balkon', 'garaż/miejsce parkingowe'];Szczepankowo;
https://www.otodom.pl/oferta/85-m2-szczepankowo-z-ogrodkiem-ID3tU2v.html#c7892253d3;Poznań, Szczepankowo,  spławie;85 m2 szczepankowo z ogródkiem;382500.0;4500.0;85.0;3;;pierwotny;;cegła;plastikowe;gazowe;2017 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'teren zamknięty', 'rolety antywłamaniowe'];;['garaż/miejsce parkingowe', 'ogródek'];Szczepankowo;2 Listopada 2017
https://www.otodom.pl/oferta/9-45-zwrotu-rocznie-nowe-4-pokoje-inwestycyjnie-ID3uKnu.html#c7892253d3;Poznań, Winogrady;9,45% zwrotu rocznie. Nowe 4-pokoje inwestycyjnie;339958.0;5900.0;57.62;4;1;pierwotny;blok;;plastikowe;miejskie;2018 ;do wykończenia;350.0;;;['domofon / wideofon'];;['balkon', 'garaż/miejsce parkingowe', 'winda'];Winogrady;
https://www.otodom.pl/oferta/2-pokoje-prawie-40-m2-w-cenie-kawalerki-ID3xPrF.html#c7892253d3;Poznań, Naramowice;2 pokoje prawie 40 m2 w cenie kawalerki;214171.0;6100.0;35.11;2;;pierwotny;blok;cegła;plastikowe;miejskie;2019 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona'];;['garaż/miejsce parkingowe', 'ogródek', 'winda'];Naramowice;
https://www.otodom.pl/oferta/4-pokoje-na-naramowicach-idealne-pod-wynajem-ID3xPN5.html#c7892253d3;Poznań, Naramowice;4 pokoje na Naramowicach, Idealne pod wynajem;307026.0;5550.0;55.32;4;4;pierwotny;blok;cegła;plastikowe;miejskie;2019 ;do wykończenia;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon'];;['balkon', 'garaż/miejsce parkingowe'];Naramowice;
